c1,lnprob
10.2301336581,-100072.415178
12.223953538,-101866.77024
7.54421659537,-99172.5797428
9.73956729831,-99778.054304
5.5876497703,-99613.6322322
7.36451664314,-99174.5416999
11.7259740625,-101328.685208
14.7974347348,-105601.724807
8.77454296716,-99368.5715426
3.82370464689,-100803.523413
7.17047842707,-99185.4147665
12.223953538,-101866.77024
7.54421659537,-99172.5797428
9.73956729831,-99778.054304
7.16721165754,-99185.6756324
7.36451664314,-99174.5416999
11.7259740625,-101328.685208
13.4328527027,-103422.129323
8.77454296716,-99368.5715426
4.266917852,-100433.882956
7.44719550919,-99172.6706471
12.223953538,-101866.77024
7.54421659537,-99172.5797428
9.73956729831,-99778.054304
7.16721165754,-99185.6756324
7.34809596271,-99175.1097516
11.7259740625,-101328.685208
13.4328527027,-103422.129323
8.28237631887,-99246.3117241
4.78517988456,-100061.806059
7.44719550919,-99172.6706471
12.223953538,-101866.77024
7.54421659537,-99172.5797428
9.73956729831,-99778.054304
7.16721165754,-99185.6756324
7.31655326893,-99176.3835662
11.7259740625,-101328.685208
13.1874707356,-103077.881193
7.73692258249,-99179.1392517
5.75286217983,-99540.6621661
7.44719550919,-99172.6706471
10.9460305381,-100606.250442
7.54421659537,-99172.5797428
9.73956729831,-99778.054304
7.16721165754,-99185.6756324
7.31655326893,-99176.3835662
11.7259740625,-101328.685208
11.9771826966,-101592.641762
7.73692258249,-99179.1392517
5.75286217983,-99540.6621661
7.39497439192,-99173.66042
10.9460305381,-100606.250442
7.35305179663,-99174.931452
9.70625205246,-99760.1706851
7.16721165754,-99185.6756324
7.32651138754,-99175.9554715
11.3068498114,-100922.208598
11.9771826966,-101592.641762
7.59710153397,-99173.4872339
5.75286217983,-99540.6621661
7.39497439192,-99173.66042
10.6491981558,-100369.88967
7.35305179663,-99174.931452
9.70625205246,-99760.1706851
7.45030086876,-99172.6325304
7.28505812967,-99177.8951364
11.3068498114,-100922.208598
11.9771826966,-101592.641762
7.59710153397,-99173.4872339
5.75286217983,-99540.6621661
7.39497439192,-99173.66042
10.6491981558,-100369.88967
7.35305179663,-99174.931452
8.43916165004,-99278.9111785
7.45030086876,-99172.6325304
7.28505812967,-99177.8951364
11.3068498114,-100922.208598
9.85489615698,-99842.0323183
7.59710153397,-99173.4872339
6.41848584015,-99313.4345083
7.39497439192,-99173.66042
10.0730186851,-99971.8148952
7.35305179663,-99174.931452
8.45126789646,-99281.675189
7.45030086876,-99172.6325304
7.28505812967,-99177.8951364
9.60141410113,-99705.6421631
9.85489615698,-99842.0323183
7.52735034743,-99172.4323427
6.91204322073,-99214.012784
7.3499812344,-99175.041225
10.0730186851,-99971.8148952
7.35305179663,-99174.931452
8.45126789646,-99281.675189
7.45030086876,-99172.6325304
7.35901112126,-99174.7249016
9.60141410113,-99705.6421631
9.85489615698,-99842.0323183
7.52735034743,-99172.4323427
7.07182970509,-99194.428193
7.34588058001,-99175.1913739
10.0730186851,-99971.8148952
7.35305179663,-99174.931452
8.08695349844,-99213.9877133
7.45030086876,-99172.6325304
7.35737437938,-99174.780777
9.60141410113,-99705.6421631
9.62556314195,-99717.9673794
7.5613680599,-99172.8000701
7.19406384476,-99183.6078219
7.34588058001,-99175.1913739
9.08649765024,-99476.3472343
7.35305179663,-99174.931452
8.08695349844,-99213.9877133
7.400177919,-99173.5322599
7.35737437938,-99174.780777
9.60141410113,-99705.6421631
9.62556314195,-99717.9673794
7.55948333945,-99172.7723854
7.19406384476,-99183.6078219
7.45519263286,-99172.5772092
9.08649765024,-99476.3472343
7.35305179663,-99174.931452
8.08695349844,-99213.9877133
7.400177919,-99173.5322599
7.35737437938,-99174.780777
9.34859851388,-99585.0627864
9.62556314195,-99717.9673794
7.55948333945,-99172.7723854
7.19406384476,-99183.6078219
7.45098373036,-99172.6244609
9.08649765024,-99476.3472343
7.35305179663,-99174.931452
8.08695349844,-99213.9877133
7.3120069195,-99176.5869721
7.35737437938,-99174.780777
8.74073099284,-99358.3013556
9.62556314195,-99717.9673794
7.55948333945,-99172.7723854
7.19406384476,-99183.6078219
7.45098373036,-99172.6244609
8.95290438838,-99427.316248
7.34972115481,-99175.0506274
6.99767748826,-99202.7502572
7.36953066205,-99174.3812208
7.32124049839,-99176.179082
8.68906814181,-99343.1421554
9.37570641853,-99597.2531706
7.58025044691,-99173.1247714
7.30071532897,-99177.1137526
7.45316029524,-99172.5994915
8.95290438838,-99427.316248
7.3878597124,-99173.8462307
7.13575596635,-99188.3193602
7.6034964226,-99173.642732
7.32124049839,-99176.179082
8.68906814181,-99343.1421554
8.90995316331,-99412.4678192
7.58025044691,-99173.1247714
7.23337853879,-99180.8943423
7.46585008167,-99172.4766885
8.95290438838,-99427.316248
7.3878597124,-99173.8462307
7.17219650744,-99185.2786041
7.62319644534,-99174.1838163
7.37751904209,-99174.1380831
8.43874925485,-99278.8176466
8.63096379523,-99326.8628033
7.61563905576,-99173.9651656
7.23337853879,-99180.8943423
7.47884457786,-99172.3912277
8.78606509029,-99372.1343769
7.3878597124,-99173.8462307
7.17219650744,-99185.2786041
7.49002723842,-99172.3503213
7.37751904209,-99174.1380831
8.43874925485,-99278.8176466
8.4586888808,-99283.3869881
7.5686176561,-99172.9145533
7.26391927238,-99179.0439857
7.6147317827,-99173.9398435
8.18769628325,-99229.4996559
7.3799216529,-99174.06797
7.26393916526,-99179.0428538
7.49002723842,-99172.3503213
7.37751904209,-99174.1380831
8.43874925485,-99278.8176466
8.4586888808,-99283.3869881
7.5686176561,-99172.9145533
7.35761234191,-99174.7726132
7.6147317827,-99173.9398435
8.03456275742,-99206.8893227
7.3808110383,-99174.0423694
7.48375766521,-99172.369537
7.49002723842,-99172.3503213
7.33145806241,-99175.7517169
8.43874925485,-99278.8176466
8.4586888808,-99283.3869881
7.5686176561,-99172.9145533
7.37987179445,-99174.0694108
7.65462813462,-99175.2411409
7.84556006382,-99186.7891971
7.3808110383,-99174.0423694
7.48375766521,-99172.369537
7.45632330135,-99172.5652444
7.33145806241,-99175.7517169
8.09826615188,-99215.6074556
8.4586888808,-99283.3869881
7.40637889539,-99173.3880703
7.37987179445,-99174.0694108
7.65462813462,-99175.2411409
7.82312479725,-99184.9758997
7.40818536918,-99173.3478111
7.48375766521,-99172.369537
7.45632330135,-99172.5652444
7.37781643512,-99174.129329
7.92271938937,-99193.9531785
8.43862472554,-99278.7894113
7.37204089762,-99174.3031581
7.35506465187,-99174.8607274
7.66704960476,-99175.7247431
7.82312479725,-99184.9758997
7.43261153524,-99172.8808012
7.49512580541,-99172.3416918
7.45632330135,-99172.5652444
7.50598611532,-99172.3442332
7.92271938937,-99193.9531785
8.43862472554,-99278.7894113
7.50145858393,-99172.3397124
7.31023337998,-99176.6676743
7.66704960476,-99175.7247431
7.61941643247,-99174.0727291
7.43261153524,-99172.8808012
7.49395315873,-99172.3431208
7.44223186534,-99172.7364083
7.50598611532,-99172.3442332
7.92271938937,-99193.9531785
8.43862472554,-99278.7894113
7.50381542941,-99172.3414481
7.31023337998,-99176.6676743
7.66704960476,-99175.7247431
7.5853029882,-99173.2262538
7.49895367252,-99172.3393378
7.57263862215,-99172.983522
7.44223186534,-99172.7364083
7.50598611532,-99172.3442332
7.92271938937,-99193.9531785
8.4051324407,-99271.3314009
7.49204316853,-99172.3461591
7.32946708857,-99175.8330151
7.60875258424,-99173.7779336
7.77881927137,-99181.7519386
7.49895367252,-99172.3393378
7.57263862215,-99172.983522
